,index,datetime,X,Y,Z,dtr_GPS,dtr_GAL,in_view_sat,dtr
76,0,2021-07-17 06:20:00,4642424.065518302,1028626.238333812,4236845.929411751,-2.8585577948021816e-08,-6.002523432789907e-08,15,-3.143965637987725e-08
77,0,2021-07-17 06:25:00,4642423.569337022,1028626.2090788361,4236844.932322779,-3.681371695216127e-08,-7.274678744324709e-08,15,-3.5933070491085824e-08
78,0,2021-07-17 06:30:00,4642423.072388679,1028625.9330402188,4236844.286634355,-3.429480141294746e-08,-8.14634468427132e-08,15,-4.716864542976574e-08
79,0,2021-07-17 06:35:00,4642422.730497464,1028625.488668563,4236843.45583653,-3.954429413189929e-08,-8.717121570008936e-08,15,-4.762692156819007e-08
80,0,2021-07-17 06:40:00,4642419.1028942745,1028621.6835022162,4236837.516173822,-5.708512644805194e-08,-1.0292042287326439e-07,17,-4.583529642521245e-08
81,0,2021-07-17 06:45:00,4642418.943378702,1028621.7060239796,4236837.476512672,-5.7100141927057375e-08,-1.019093306980887e-07,16,-4.480918877103132e-08
82,0,2021-07-17 06:50:00,4642422.726727351,1028622.0911762441,4236838.76632643,-4.984839048907047e-08,-8.858705112429519e-08,15,-3.873866063522472e-08
83,0,2021-07-17 06:55:00,4642423.7747228285,1028622.5596738468,4236839.826408002,-4.536447381444563e-08,-7.931526888165429e-08,15,-3.3950795067208665e-08
84,0,2021-07-17 07:00:00,4642425.282849055,1028623.0056916336,4236842.444440858,-3.74393826565219e-08,-6.59005609457935e-08,14,-2.84611782892716e-08
85,0,2021-07-17 07:05:00,4642426.496722513,1028623.7967228933,4236843.635636102,-3.177633498210351e-08,-5.282147206008329e-08,14,-2.104513707797978e-08
86,0,2021-07-17 07:10:00,4642425.81614923,1028624.741864165,4236845.184305885,-3.059211429399365e-08,-4.8277972976676986e-08,14,-1.7685858682683334e-08
87,0,2021-07-17 07:15:00,4642426.860056512,1028625.322977881,4236846.926284142,-2.7408365808761448e-08,-3.737211197907561e-08,14,-9.96374617031416e-09
88,0,2021-07-17 07:20:00,4642428.390890488,1028625.7948209606,4236849.078583424,-1.8127782824679124e-08,-1.935751927415513e-08,15,-1.2297364494760055e-09
89,0,2021-07-17 07:25:00,4642429.53057758,1028626.3453452939,4236850.439649378,-1.6716494427945954e-08,-1.1580661104217484e-08,15,5.13583332372847e-09
90,0,2021-07-17 07:30:00,4642430.555931128,1028626.9829162104,4236851.589330274,-1.11916748816071e-08,2.5775956827432792e-09,15,1.376927056435038e-08
91,0,2021-07-17 07:35:00,4642431.224025013,1028627.6315179386,4236852.520572002,-1.0563679917776216e-08,1.0276275374596735e-08,15,2.0839955292372952e-08
92,0,2021-07-17 07:40:00,4642431.658127716,1028628.0724630767,4236853.36856775,-6.803868801283867e-09,2.0267016662598485e-08,15,2.7070885463882353e-08
93,0,2021-07-17 07:45:00,4642432.367761074,1028629.0028696186,4236854.445635195,-2.4042186104487372e-09,3.160355912352027e-08,16,3.400777773396901e-08
94,0,2021-07-17 07:50:00,4642433.830493386,1028629.3308309503,4236855.280204234,-2.7119943530990406e-10,3.963702953095797e-08,15,3.990822896626787e-08
95,0,2021-07-17 07:55:00,4642433.248537766,1028629.6537314593,4236855.057883253,2.2193874591891305e-09,4.778594565000668e-08,15,4.556655819081755e-08
96,0,2021-07-17 08:00:00,4642435.040838196,1028631.0570406625,4236853.836837815,4.84201934274657e-09,4.6930214135849956e-08,13,4.208819479310339e-08
97,0,2021-07-17 08:05:00,4642435.327429129,1028631.329682322,4236854.146082988,4.077677739695695e-09,5.036766280381287e-08,13,4.6289985064117176e-08
98,0,2021-07-17 08:10:00,4642434.28033413,1028630.2104301711,4236856.579689441,4.307631226311113e-09,6.07290186009583e-08,16,5.6421387374647186e-08
99,0,2021-07-17 08:15:00,4642434.467230695,1028630.5442218088,4236856.731556942,5.6619998970932746e-09,6.414320270504287e-08,16,5.8481202807949594e-08
100,0,2021-07-17 08:20:00,4642434.820955725,1028630.5424601488,4236856.736216106,7.508590204784751e-09,6.812888823332485e-08,16,6.06202980285401e-08
101,0,2021-07-17 08:25:00,4642434.717785699,1028630.7129729333,4236856.917548374,8.58422100717993e-09,7.138429817483378e-08,16,6.280007716765385e-08
102,0,2021-07-17 08:30:00,4642434.7540822495,1028630.9227428924,4236857.242015151,8.390210135582453e-09,7.176717716267105e-08,16,6.33769670270886e-08
103,0,2021-07-17 08:35:00,4642434.372977193,1028631.1941221596,4236857.185609954,8.742441227635102e-09,7.336733906029965e-08,15,6.462489783266455e-08
104,0,2021-07-17 08:40:00,4642434.307431859,1028630.8585166468,4236857.236371068,8.540249252586003e-09,7.341912314363815e-08,15,6.487887389105215e-08
105,0,2021-07-17 08:45:00,4642434.26966534,1028631.157869574,4236857.300375755,7.035919590600121e-09,7.130838514682728e-08,15,6.427246555622716e-08
106,0,2021-07-17 08:50:00,4642435.22477073,1028631.9410912524,4236858.973020482,1.1618157863471397e-08,7.716646895192275e-08,16,6.554831108845135e-08
107,0,2021-07-17 08:55:00,4642435.289083016,1028632.1322344764,4236859.224516775,1.2425442573399437e-08,7.819791443363344e-08,16,6.5772471860234e-08
108,0,2021-07-17 09:00:00,4642435.3804941205,1028631.7329293446,4236860.4133807,1.550750906690395e-08,7.778384784137713e-08,16,6.227633877447317e-08
109,0,2021-07-17 09:05:00,4642435.354690602,1028631.7357370171,4236860.673418615,1.7261738538057932e-08,7.853082515595911e-08,16,6.126908661790118e-08
110,0,2021-07-17 09:10:00,4642434.750620317,1028633.0783753594,4236860.777605053,1.5774306175608605e-08,7.979604878280744e-08,15,6.402174260719883e-08
111,0,2021-07-17 09:15:00,4642434.676454214,1028633.1938986919,4236861.29508851,1.6783262205053845e-08,7.99887140824935e-08,15,6.320545187743965e-08
112,0,2021-07-17 09:20:00,4642435.289931312,1028633.6108639396,4236862.448186849,2.0051455360594537e-08,8.192707160481115e-08,15,6.187561624421662e-08
113,0,2021-07-17 09:25:00,4642435.736280215,1028633.8594671322,4236863.0091980295,2.3194218993375964e-08,8.381977223240264e-08,15,6.062555323902667e-08
114,0,2021-07-17 09:30:00,4642435.372147463,1028633.8904370571,4236862.643583895,2.3027409471818044e-08,8.227745937583332e-08,14,5.925004990401528e-08
115,0,2021-07-17 09:35:00,4642435.4487402,1028633.5882585064,4236862.698691039,2.419366614946358e-08,8.24970024356566e-08,14,5.8303336286193015e-08
116,0,2021-07-17 09:40:00,4642435.968564383,1028633.481807154,4236863.278740836,2.4487308436011664e-08,8.191712182403465e-08,15,5.742981338802298e-08
117,0,2021-07-17 09:45:00,4642436.072782984,1028633.9341368322,4236863.087605715,2.6781062787923908e-08,8.02938723704829e-08,14,5.3512809582558986e-08
118,0,2021-07-17 09:50:00,4642435.701042638,1028633.3656107406,4236862.698121314,2.477591735908843e-08,7.751687015800927e-08,15,5.2740952798920834e-08
119,0,2021-07-17 09:55:00,4642434.83024233,1028633.3841488889,4236862.191236369,2.1051576369558506e-08,7.018886802656592e-08,15,4.9137291657007414e-08
120,0,2021-07-17 10:00:00,4642434.127434873,1028633.3452327427,4236861.28592353,2.160963630999222e-08,6.726635522938058e-08,15,4.565671891938836e-08
121,0,2021-07-17 10:05:00,4642432.725364241,1028632.8259245226,4236859.20584746,1.2736493380945548e-08,5.50046497725432e-08,16,4.2268156391597653e-08
122,0,2021-07-17 10:10:00,4642432.241549901,1028632.6424786394,4236858.51008464,1.1657745440901594e-08,4.8598229073978e-08,16,3.6940483633076406e-08
123,0,2021-07-17 10:15:00,4642431.700056082,1028632.7235714945,4236857.902219521,9.392338947301238e-09,4.1854483131522754e-08,16,3.2462144184221516e-08
124,0,2021-07-17 10:20:00,4642430.903126565,1028632.5753401355,4236856.919520357,8.530886529519317e-09,3.4399939428865434e-08,16,2.5869052899346117e-08
125,0,2021-07-17 10:25:00,4642430.04692216,1028632.3039003392,4236856.007634545,8.008768834429608e-09,2.7778432336436422e-08,16,1.9769663502006814e-08
126,0,2021-07-17 10:30:00,4642429.092353129,1028632.2678458671,4236854.781721367,3.3024715847013295e-09,1.584733452741922e-08,16,1.254486294271789e-08
127,0,2021-07-17 10:35:00,4642429.336574868,1028632.3425469088,4236856.213525145,4.942831679129125e-09,1.192419055223498e-08,14,6.9813588731058544e-09
128,0,2021-07-17 10:40:00,4642429.033834757,1028632.295416341,4236855.560282422,4.767301106893453e-09,3.255655377244995e-09,15,-1.5116457296484582e-09
129,0,2021-07-17 10:45:00,4642428.501453132,1028632.2391362617,4236855.028529502,3.5361869451200598e-09,-5.21564641061637e-09,15,-8.75183335573643e-09
130,0,2021-07-17 10:50:00,4642427.853380099,1028631.8465416561,4236854.483100553,2.607492977053782e-09,-1.2818269319804584e-08,14,-1.5425762296858365e-08
131,0,2021-07-17 10:55:00,4642427.148922227,1028631.7061426466,4236853.860851265,-2.5573568382662786e-09,-2.535986631285375e-08,14,-2.2802509474587473e-08
132,0,2021-07-17 11:00:00,4642427.145034922,1028631.5044555404,4236853.757671656,-1.0725184687817269e-09,-2.9903547812071535e-08,15,-2.883102934328981e-08
133,0,2021-07-17 11:05:00,4642429.180391675,1028630.673804747,4236854.246969951,1.9370129061454215e-09,-2.8957765571131815e-08,14,-3.089477847727724e-08
134,0,2021-07-17 11:10:00,4642425.299659479,1028631.2720001565,4236852.484421637,-1.912990700559052e-09,-4.036380379555698e-08,15,-3.845081309499793e-08
135,0,2021-07-17 11:15:00,4642425.676585104,1028631.3375110895,4236852.157958462,-1.7427916311894257e-09,-4.430984781969794e-08,17,-4.256705618850852e-08
136,0,2021-07-17 11:20:00,4642425.256961126,1028630.9976771604,4236851.590419376,-2.3197188329779134e-09,-4.658031384509506e-08,16,-4.426059501211715e-08
137,0,2021-07-17 11:25:00,4642425.385012496,1028631.0082084383,4236851.016967567,-2.656416892736313e-09,-4.75378222507642e-08,16,-4.4881405358027886e-08
138,0,2021-07-17 11:30:00,4642423.800343148,1028630.8339398111,4236849.274314238,-8.184620552579785e-09,-5.347437450895381e-08,17,-4.528975395637402e-08
139,0,2021-07-17 11:35:00,4642424.005418317,1028630.779423784,4236848.444128998,-1.0365338575161572e-08,-5.240872060562126e-08,16,-4.2043382030459686e-08
140,0,2021-07-17 11:40:00,4642424.067336227,1028630.3929223539,4236848.03357281,-1.0294949113869164e-08,-4.677187069276288e-08,15,-3.647692157889372e-08
141,0,2021-07-17 11:45:00,4642423.605693138,1028628.1517067938,4236847.953411453,-1.049687390568027e-08,-4.067054502858694e-08,15,-3.017367112290667e-08
142,0,2021-07-17 11:50:00,4642428.684619293,1028629.0415731806,4236849.237621374,-2.976909825114029e-09,-2.5233697019078407e-08,14,-2.2256787193964378e-08
143,0,2021-07-17 11:55:00,4642424.50249355,1028627.9206584091,4236848.366267795,-1.201144641069955e-08,-2.9229175436743958e-08,15,-1.721772902604441e-08
144,0,2021-07-17 12:00:00,4642425.7985543525,1028628.393140037,4236849.669636327,-5.53884503202611e-09,-1.9136035487738e-08,16,-1.359719045571189e-08
145,0,2021-07-17 12:05:00,4642426.113002895,1028628.5078738848,4236849.722264515,-6.404811719436192e-09,-1.3036876952872468e-08,16,-6.632065233436276e-09
146,0,2021-07-17 12:10:00,4642426.839684142,1028628.6502142565,4236850.472517477,-4.6590714909106534e-09,-3.4554080253283816e-09,17,1.2036634655822719e-09
147,0,2021-07-17 12:15:00,4642427.552860146,1028628.9744383197,4236851.1376247695,-2.0151545370495936e-09,6.668882107841417e-09,17,8.684036644891011e-09
148,0,2021-07-17 12:20:00,4642428.110038949,1028629.1703204343,4236851.57463621,1.05049823436049e-09,1.783223157531854e-08,18,1.678173334095805e-08
149,0,2021-07-17 12:25:00,4642428.504705915,1028629.1839220765,4236851.924441945,5.820819704762828e-11,2.4967510120142936e-08,18,2.490930192309531e-08
150,0,2021-07-17 12:30:00,4642428.5962712215,1028629.4738168722,4236852.45715217,2.822757118001213e-09,3.5430077111698806e-08,17,3.260731999369759e-08
151,0,2021-07-17 12:35:00,4642429.4635755485,1028629.6451032843,4236853.205838841,2.2927636039915904e-09,4.171186006100055e-08,17,3.941909645700896e-08
152,0,2021-07-17 12:40:00,4642429.707423938,1028629.8814863799,4236853.432159068,4.554443935098916e-09,4.981343412024656e-08,16,4.525899018514764e-08
153,0,2021-07-17 12:45:00,4642430.0758722,1028630.0604743114,4236854.073857519,1.0768697327225599e-08,6.158208271049582e-08,17,5.0813385383270226e-08
154,0,2021-07-17 12:50:00,4642430.472131419,1028630.0558223018,4236854.351334349,9.754967745394433e-09,6.480186668877739e-08,16,5.504689894338296e-08
