,time,sv,xs,ys,zs,xs_dot,ys_dot,zs_dot,ts,C1C,constellation
971,2021-07-17 12:45:00,E25,25667854.30759449,-8475747.45905643,-12051042.984990733,-1035.760409215584,633.6120840101995,-2649.4093777229205,-0.0005402777854328858,28405528.46,E
972,2021-07-17 12:45:00,E30,4457019.31622285,-20542216.85616991,20840467.491071787,1671.7228025361019,-1257.8986758741607,-1596.4495294823687,0.0027769175916887694,26389168.26,E
973,2021-07-17 12:45:00,E36,16077939.443591284,-1170742.689731394,24821320.018037762,284.42223254133916,2478.217930464329,-66.99737668508645,-0.00023564247413790414,23720815.115,E
974,2021-07-17 12:50:00,E02,21017860.77259571,-20182974.289360307,5237931.31964556,356.90508577113087,-399.3318166030139,-2971.9891326618726,0.0002335247118026,26745850.771,E
975,2021-07-17 12:50:00,E04,6666993.269146232,19281845.01521074,21453321.79008199,-1973.4333497751977,-852.5752790088384,1380.52355058592,-0.0008152242517099,25417502.622,E
976,2021-07-17 12:50:00,E05,27233268.70608808,2872733.836528902,-11224260.2066315,1051.200361943433,406.05402204896274,2653.5111842815313,-0.0002645058201551219,27516467.18,E
977,2021-07-17 12:50:00,E09,24318649.818446614,15371290.174097035,6929703.912181191,-620.5153020745711,-316.7292416666578,2884.435898935207,0.005597455077805,22819257.817,E
978,2021-07-17 12:50:00,E11,13706932.138633264,20188388.78805879,16748324.292771988,331.3622434251869,1655.0013524166693,-2263.0777061461804,0.005707637758405661,22901846.898,E
979,2021-07-17 12:50:00,E25,25349868.96108336,-8274952.5229888605,-12837343.348885193,-1083.4597973959837,705.2678145325102,-2591.988213095274,-0.000540278147809681,28567684.784,E
980,2021-07-17 12:50:00,E30,4948167.001574938,-20921059.63970117,20347230.908291176,1602.2875899613045,-1267.0249316385048,-1691.4175572157574,0.002776908397209,26396713.196,E
981,2021-07-17 12:50:00,E36,16172220.454756277,-428857.25528653455,24784055.168360062,343.9877563066202,2466.8791760593817,-181.40627756572232,-0.0002356439945288,23676786.449,E
982,2021-07-17 12:55:00,E02,21112898.334689073,-20295801.375593685,4342919.304810537,276.97440950692055,-352.2090335195136,-2994.070144668806,0.00023352549624178028,26874753.767,E
983,2021-07-17 12:55:00,E04,6066508.753450651,19030473.156620666,21852555.160690106,-2029.2772686518965,-822.7032418496294,1280.7260791190654,-0.0008152266732395435,25471505.672,E
984,2021-07-17 12:55:00,E05,27538800.616444536,2986475.743928548,-10420623.295191316,985.1359820431203,352.6499412981698,2703.450204417976,-0.00026450493766104407,27335929.115,E
985,2021-07-17 12:55:00,E09,24119391.239833545,15273587.500919852,7790037.963099992,-707.8997308657389,-333.93505482489667,2850.462825025001,0.005597451232347714,22712461.439,E
986,2021-07-17 12:55:00,E11,13810817.614585388,20673438.49479854,16057970.018271782,360.5957874105319,1578.2069476786514,-2338.752816209705,0.005707621984356927,22981318.291,E
987,2021-07-17 12:55:00,E25,25018192.88407873,-8052450.864371026,-13605877.056374775,-1127.0151215832075,778.2824163634164,-2530.9786497888254,-0.0005402785101864762,28727739.297,E
988,2021-07-17 12:55:00,E30,5418215.403257922,-21302009.344761655,19825851.34772041,1531.09648911862,-1271.9293616011887,-1784.0453134180293,0.002776899184311888,26412309.672,E
989,2021-07-17 12:55:00,E36,16284240.873607265,308902.6118808943,24712501.464904636,402.64098823198776,2450.7213227245147,-295.5632571375239,-0.00023564555914390415,23635533.536,E
990,2021-07-17 13:00:00,E02,21184234.732290264,-20393922.118520632,3441903.26076133,198.9369938052736,-301.3105396161045,-3012.0119618522035,0.0002335263998248,27007477.332,E
991,2021-07-17 13:00:00,E04,5449748.065141138,18788535.067402907,22221580.664398845,-2081.9109870723205,-789.7117941892049,1179.1610293777123,-0.0008152290829457,25533051.578,E
992,2021-07-17 13:00:00,E09,23893908.35503957,15171342.065152995,8639586.961022027,-795.3013099028037,-347.0114338243965,2812.5448072885947,0.005597447452601,22612294.352,E
993,2021-07-17 13:00:00,E25,24674083.70489592,-7807872.12752068,-14355580.118489629,-1166.3327738377534,852.4063153592969,-2466.465045944309,-0.0005402788725632715,28885355.931,E
994,2021-07-17 13:00:00,E30,5866674.216728547,-21683787.43991865,19277050.67108439,1458.4000054450107,-1272.5361780402982,-1874.2043559912886,0.002776890120003,26435865.829,E
995,2021-07-17 13:00:00,E36,16413687.539345087,1041099.6239714837,24606758.19587308,460.11927167152817,2429.8048494308005,-409.31043779223313,-0.0002356471237590083,23597176.002,E
996,2021-07-17 13:05:00,E02,21232473.131492566,-20476223.50313108,2536128.641680677,123.02566684265761,-246.77026215924505,-3025.789715425094,0.00023352718426398027,27143627.508,E
997,2021-07-17 13:05:00,E04,4817701.350151595,18556940.638924167,22559889.03220163,-2131.154283716538,-753.7753119821322,1075.9687014536325,-0.0008152315044753435,25601952.616,E
998,2021-07-17 13:05:00,E09,23642234.859212358,15065794.260616673,9477175.47083706,-882.4598159537042,-355.951413590078,2770.734592240335,0.005597443607143714,22518985.964,E
999,2021-07-17 13:05:00,E25,24318824.91174933,-7540921.567682606,-15085414.58627015,-1201.3340107847398,927.38515932822,-2398.536623409377,-0.0005402792349400667,29040214.517,E
1000,2021-07-17 13:05:00,E30,6293130.280385715,-22065095.15198233,18701588.1139466,1384.4535311707407,-1268.784560850785,-1961.7702885435158,0.0027768809113691444,26467265.078,E
1001,2021-07-17 13:05:00,E36,16560169.06624862,1766317.2133836285,24466971.91837597,516.1640170460453,2404.2058095091297,-522.4904832563936,-0.00023564868837411244,23561841.646,E
1002,2021-07-17 13:10:00,E02,21258285.188069634,-20541634.842253,1626847.9495657766,49.46514977585028,-188.73542041071153,-3035.384223357544,0.0002335281460546,27282804.278,E
1003,2021-07-17 13:10:00,E04,4171411.758069978,18336545.964571375,22867013.365411393,-2176.8381474916932,-715.0785128140146,971.2917863383115,-0.0008152339141816,25678000.927,E
1004,2021-07-17 13:10:00,E09,23364482.837056585,14958184.014338877,10301644.270190984,-969.1155236223133,-360.763131612188,2725.090553145247,0.005597439827397,22432743.658,E
1005,2021-07-17 13:10:00,E11,14167140.06806694,21985031.480016567,13857569.667186845,425.3318031454754,1333.0561013235856,-2545.9471233245795,0.005707574891858,23237817.273,E
1006,2021-07-17 13:10:00,E30,6697247.005848505,-22444617.70283,18100260.087830253,1309.5155231216977,-1260.6288997405982,-2046.6218545723268,0.002776871842798,26506362.244,E
1007,2021-07-17 13:10:00,E36,16723217.213703088,2483163.9520713454,24293336.2775978,570.5215992299139,2374.0156977950196,-634.9468454128627,-0.00023565025298921658,23529661.711,E
1008,2021-07-17 13:15:00,E02,21262408.87200113,-20589131.32733974,715317.9499465817,-21.528641860988117,-127.36604885196907,-3040.782206432895,0.00023352893475703669,27424606.609,E
1009,2021-07-17 13:15:00,E04,3511970.510760608,18128150.180762365,23142530.030729014,-2218.8048020141277,-673.8157274222842,865.2747993779517,-0.000815236331447987,25760973.268,E
1010,2021-07-17 13:15:00,E09,23060841.810930252,14849746.84888239,11111852.692585729,-1055.0095972830018,-361.4698703616119,2675.6761163599563,0.005597435981939714,22353756.236,E
1011,2021-07-17 13:15:00,E11,14296872.634306224,22372119.315564837,13084375.778402241,438.8614096833713,1247.2369826748331,-2608.083983451473,0.005707559122072522,23329488.9,E
1012,2021-07-17 13:15:00,E30,7078766.415063611,-22821028.984080553,17473898.285863087,1233.847364263575,-1248.0388782311272,-2128.6419997354315,0.002776862638427401,26552991.716,E
1013,2021-07-17 13:15:00,E36,16902288.510750063,3190278.137346986,24086091.737916883,622.9442558272733,2339.341130792613,-746.5239803166565,-0.00023565181760432072,23500774.391,E
1014,2021-07-17 13:20:00,E02,21245645.25412941,-20617738.3238188,-197200.75120044823,-89.74943042770965,-62.83442387451015,-3041.9760657032957,0.0002335297758691,27568626.574,E
1015,2021-07-17 13:20:00,E04,2840515.3557709893,17932492.856953736,23386058.838672426,-2256.908773187153,-630.1902543597234,758.0643003018843,-0.0008152388036251,25850625.688,E
1016,2021-07-17 13:20:00,E05,28744350.43960238,3337902.382747802,-6209019.235532554,611.0542278869175,128.69607989059955,2895.81964731791,-0.000264500733465,26448904.622,E
1017,2021-07-17 13:20:00,E09,22731579.04039845,14741708.75230398,11906679.619117254,-1139.8855595241012,-358.10984958186566,2622.5601996817127,0.005597432143986,22282185.579,E
1018,2021-07-17 13:20:00,E11,14430038.415095786,22733211.09155394,12293080.525903776,448.20596602493293,1159.7934954717505,-2666.6099766336733,0.005707543401513,23424306.663,E
1019,2021-07-17 13:20:00,E30,7437508.571107979,-23192996.03774707,16823369.4628274,1157.711718125056,-1230.999735670498,-2207.7171338955886,0.002776853390969,26606958.293,E
1020,2021-07-17 13:20:00,E36,17096766.147129882,3886332.27383146,23845525.249419834,673.1909649963274,2300.3034743616126,-857.0675628340867,-0.00023565338221942487,23475317.235,E
1021,2021-07-17 13:25:00,E02,21208856.07560556,-20626534.233248964,-1109446.8934069858,-155.00115502549252,4.67548906166617,-3038.9640661425365,0.00023353056883479312,27714464.01,E
1022,2021-07-17 13:25:00,E04,2158225.047448349,17750251.202848822,23597264.00028506,-2291.0169150426245,-584.4136111082635,649.8082853494086,-0.000815241220891487,25946707.203,E
1023,2021-07-17 13:25:00,E05,28915394.7019915,3371163.3037044858,-5336177.255868061,528.8992998431584,93.62581452540479,2922.4556557917663,-0.0002644998552341786,26276848.731,E
1024,2021-07-17 13:25:00,E09,22377037.82463672,14635282.282731751,12685025.864693804,-1223.489623787853,-350.73621139726504,2565.8165926890724,0.005597428298528714,22218177.629,E
1025,2021-07-17 13:25:00,E11,14565370.343231939,23067859.23758966,11484779.098480433,453.2917734280596,1070.9896596617673,-2721.4445038834033,0.005707527635990779,23522305.458,E
1026,2021-07-17 13:25:00,E30,7773372.98003993,-23559183.90343418,16149573.47447647,1081.372337446513,-1209.5121872552093,-2283.73820403774,0.002776844186598401,26668050.181,E
1027,2021-07-17 13:25:00,E36,17305962.12422026,4570037.435998577,23571969.850266766,721.028299762351,2257.038420222799,-966.4246996174588,-0.000235654946834529,23453438.066,E
1028,2021-07-17 13:30:00,E02,21152959.956761904,-20614654.701375403,-2020158.9085687834,-217.09881257290488,74.96873403179612,-3031.750271022394,0.0002335313474759,27861712.653,E
1029,2021-07-17 13:30:00,E04,1466317.0810425892,17582037.93724118,23775854.166380744,-2321.0093412495835,-536.7047961846704,540.6563550169332,-0.0008152437512763,26048948.508,E
1030,2021-07-17 13:30:00,E05,29061496.55193328,3394433.0533873197,-4455950.503081549,444.8100670108931,62.10838104335259,2945.0469152143655,-0.0002644989290275,26107302.332,E
1031,2021-07-17 13:30:00,E09,21997637.59875115,14531661.557769068,13445814.525133245,-1305.5720775035413,-339.41669831156975,2505.524359797736,0.005597424402367,22161848.987,E
1032,2021-07-17 13:30:00,E11,14701581.7431596,23375695.62267125,10660590.58328588,454.0606632575322,981.0936842820402,-2772.512023720306,0.005707511794753,23623509.126,E
1033,2021-07-17 13:30:00,E30,8086337.841634021,-23918260.0493754,15453442.522620173,1005.092430082514,-1183.5925626917733,-2356.5999354664923,0.002776834939141,26736028.894,E
1034,2021-07-17 13:30:00,E36,17529119.65836869,5240147.496175933,23265804.205449507,766.2312558413835,2209.6955127551028,-1074.4441401293743,-0.00023565651144963316,23435281.381,E
