,index,datetime,xr,yr,zr,dtr_GPS,dtr_GAL,in_view_sat
189,0,2021-05-06 15:45:00,4642430.649310648,1028630.068528221,4236854.172338031,1.4190127449192875e-08,7.490809100205324e-08,12
190,0,2021-05-06 15:50:00,4642430.244689381,1028629.9720167407,4236855.12681677,1.4340891727686979e-08,7.703076885454534e-08,13
191,0,2021-05-06 15:55:00,4642429.671172147,1028629.4056368716,4236853.691515497,1.3091867705035075e-08,7.488953382188809e-08,12
192,0,2021-05-06 16:00:00,4642429.675536058,1028629.1533446556,4236853.870381388,1.211486190309685e-08,7.481478691994346e-08,12
193,0,2021-05-06 16:05:00,4642429.0406264905,1028628.8036191418,4236853.770866581,1.5669132805015238e-08,8.03148753565884e-08,12
194,0,2021-05-06 16:10:00,4642430.686214879,1028628.5032810003,4236855.776667097,1.7638377191433923e-08,8.54209426835879e-08,16
195,0,2021-05-06 16:15:00,4642430.458182341,1028628.5117842731,4236855.933005011,1.8484715120016265e-08,8.748257199765382e-08,16
196,0,2021-05-06 16:20:00,4642429.641884223,1028628.9012890359,4236854.099111513,1.367440211698064e-08,8.045290115963765e-08,15
197,0,2021-05-06 16:25:00,4642430.1705458285,1028628.2697835359,4236854.831442904,1.4509315114284061e-08,8.450547130798519e-08,15
198,0,2021-05-06 16:30:00,4642427.790173495,1028627.8043598792,4236853.859086935,8.74605113008062e-09,7.811993094996467e-08,15
199,0,2021-05-06 16:35:00,4642427.524124866,1028627.6825635763,4236853.407560146,5.1268274990952205e-09,7.642671423334975e-08,14
200,0,2021-05-06 16:40:00,4642428.898662062,1028628.7247877968,4236852.581180097,7.077606654040269e-09,8.763548606762787e-08,12
201,0,2021-05-06 16:45:00,4642429.098389414,1028628.7822831818,4236852.467994592,9.912509475863859e-09,9.26055008815758e-08,12
202,0,2021-05-06 16:50:00,4642429.5322687775,1028628.3877426226,4236854.20457814,1.5785161353147432e-08,9.326352202272085e-08,15
203,0,2021-05-06 16:55:00,4642430.033816109,1028628.2106005951,4236854.4972566245,1.2817023394287276e-08,9.202924510964521e-08,15
204,0,2021-05-06 17:00:00,4642430.366779893,1028628.1569738139,4236853.515954376,1.1727168548474803e-08,8.92038846962463e-08,14
